25,885,763
9,535,972
3,880,293
7,971,960
16,315,232
8,322,376
16,125,557
3,152,975
2,441,197
531,987
1,167,022
1,476,717
793,735
364,564
318,417
551,369
526,080
456,859
346,106
219,569
336,876
220,815
6,703,371
3,357,223
3,801,992
2,515,956
2,473,501
1,638,233
1,541,692
2,870,368
1,615,159
706,055
920,502
742,973
669,137
479,933
706,055
383,023
433,786
373,794
327,647
507,621
433,786
318,417
237,567
239,274
235,536
756,817
738,358
784,506
696,826
858,342
2,067,404
456,859
498,392
576,843
512,236
627,605
521,466
558,384
503,007
348,228
392,253
301,112
650,678
341,491
323,032
595,301
424,556
313,802
281,499
234,613
229,814
1,172,144
1,495,176
1,998,182
1,864,355
1,684,380
816,809
798,350
565,306
586,072
498,392
358,104
1,010,628
433,786
392,253
581,457
438,400
429,171
383,023
304,573
219,569
341,491
213,939
332,261
215,093
1,096,739
3,507,202
10,752,344
2,371,976
7,297,058
8,601,875
465,166
1,924,347
913,719
521,466
497,146
475,318
369,179
332,261
544,539
456,859
295,713
221,508
419,941
336,876
2,538,107
2,168,928
2,377,883
2,452,642
1,527,479
1,500,344
742,973
1,195,218
922,948
1,101,769
398,344
419,941
493,777
709,147
406,097
387,638
378,409
355,335
535,310
383,023
313,802
244,581
265,809
221,231
1,743,818
1,656,692
503,560
396,868
350,720
604,531
401,482
355,335
236,967
341,491
272,270
2,441,197
793,735
775,276
1,167,529
2,053,559
1,407,496
2,136,348
895,260
710,670
770,662
590,687
692,211
443,015
729,129
1,139,841
756,817
438,400
980,725
512,236
709,516
415,327
327,647
567,613
438,400
263,594
218,277
286,114
208,771
687,596
861,387
1,209,062
1,130,611
881,415
544,539
590,687
747,588
649,755
493,777
392,253
323,032
272,270
655,293
415,327
286,114
258,425
276,884
214,585
719,899
673,752
498,392
417,726
330,831
581,457
452,245
299,958
219,569
290,729
263,040
4,862,736
3,424,137
1,866,155
992,169
1,822,822
1,564,397
516,851
2,865,754
1,855,125
839,883
896,413
987,554
563,367
539,925
475,318
664,523
392,253
