1830111	Wound Debridement for MS&CT w/ Mild CC
1831110	Soft Tissue Proc. w/ No CC
1831111	Soft Tissue Proc. w/ Mild CC
1832110	Hip & Femur Local Excision & Removal of Internal Fixation Devices Proc. w/ No CC
1832111	Hip & Femur Local Excision & Removal of Internal Fixation Devices Proc. w/ Mild CC
1833110	Other Local Excision & Removal of Internal Fixation Devices Proc. w/ No CC
1833111	Other Local Excision & Removal of Internal Fixation Devices Proc. w/ Mild CC
1861110	Fracture of Femur w/ No CC
1861111	Fracture of Femur w/ Mild CC
1861112	Fracture of Femur w/ Moderate CC
1863110	Sprain, Dislocation and Fracture of Hip, Pelvis & Thigh w/ No CC
1863111	Sprain, Dislocation and Fracture of Hip, Pelvis & Thigh w/ Mild CC
1864110	Osteomyelitis w/ No CC
1864111	Osteomyelitis w/ Mild CC
1865610	Pathological Fracture & Malignancy w/ No CC
1865611	Pathological Fracture & Malignancy w/ Mild CC
1866119	Connective Tissue
1867110	Septic Arthritis w/ No CC
1867111	Septic Arthritis w/ Mild CC
1868110	Medical Back Problems w/ No CC
1868111	Medical Back Problems w/ Mild CC
1869110	Bone Diseases & Specific Arthropathies w/ No CC
1869111	Bone Diseases & Specific Arthropathies w/ Mild CC
1870119	Non Specific Arthropathies
1871119	Signs & Symptoms for MS&CT Disorders
1872110	Tendonitis, Myositis & Bursitis w/ No CC
1872111	Tendonitis, Myositis & Bursitis w/ Mild CC
1872112	Tendonitis, Myositis & Bursitis w/ Moderate CC
1873110	Aftercare for MS&CT w/ No CC
1873111	Aftercare for MS&CT w/ Mild CC
1874110	Fracture, Sprain, Strain & Dislocation of Forearm, Hand & Foot w/ No CC
1874111	Fracture, Sprain, Strain & Dislocation of Forearm, Hand & Foot w/ Mild CC
1875110	Fracture, Sprain, Strain & Dislocation of Upper Arm & Lower Leg w/ No CC
1875111	Fracture, Sprain, Strain & Dislocation of Upper Arm & Lower Leg w/ Mild CC
1875112	Fracture, Sprain, Strain & Dislocation of Upper Arm & Lower Leg w/ Moderate CC
1876110	Other Musculoskeletal & Connective Tissue Diagnoses w/ No CC
1876111	Other Musculoskeletal & Connective Tissue Diagnoses w/ Mild CC
1877110	Major Connective Tissue w/ No CC
1877111	Major Connective Tissue w/ Mild CC
1877112	Major Connective Tissue w/ Moderate CC
1878119	Joint Pathology
1879110	Soft Tissue Malignancy w/ No CC
1879111	Soft Tissue Malignancy w/ Mild CC
1879112	Soft Tissue Malignancy w/ Moderate CC
1902110	Microsurgery Proc. w/ No CC
1902111	Microsurgery Proc. w/ Mild CC
1904110	Distant Flap and Pedicle Graft Plastic Proc. w/ No CC
1904111	Distant Flap and Pedicle Graft Plastic Proc. w/ Mild CC
1905119	Skin Graft Proc.
1906119	Breast Conserving Surgery Proc.
1907110	Total Mastectomy Proc. w/ No CC
1907111	Total Mastectomy Proc. w/ Mild CC
1908110	Plastic Proc. w/ No CC
1908111	Plastic Proc. w/ Mild CC
1909110	Biopsy & Local Excision of Breast Proc. w/ No CC
1909111	Biopsy & Local Excision of Breast Proc. w/ Mild CC
1910110	Excisional Surgery & Repair, Flaps & Grafts, Nail Surgery w/ No CC
1910111	Excisional Surgery & Repair, Flaps & Grafts, Nail Surgery w/ Mild CC
1913110	Wound Care Proc. w/ No CC
1913111	Wound Care Proc. w/ Mild CC
1915110	Skin, Subcutaneous Tissue & Breast Proc. w/ No CC
1915111	Skin, Subcutaneous Tissue & Breast Proc. w/ Mild CC
1915112	Skin, Subcutaneous Tissue & Breast Proc. w/ Moderate CC
1961110	Skin Ulcer w/ No CC
1961111	Skin Ulcer w/ Mild CC
1962610	Skin Malignancy w/ No CC
1962611	Skin Malignancy w/ Mild CC
1963110	Dermatology Emergency & Skin Bullous Disorders w/ No CC
1963111	Dermatology Emergency & Skin Bullous Disorders w/ Mild CC
1964110	Papulosquamous Disorders w/ No CC
